Africa,Algeria,44903228
Africa,Angola,35588996
Africa,Benin,13352864
Africa,Botswana,2630300
Africa,Burkina Faso,22673764
Africa,Burundi,12889583
Africa,Cameroon,27914542
Africa,Cape Verde,593162
Africa,Central African Republic,5579148
Africa,Chad,17723312
Africa,Comoros,836783
Africa,Congo,5970430
Africa,Cote d'Ivoire,28160548
Africa,Democratic Republic of Congo,99010216
Asia,Afghanistan,41128772
Asia,Armenia,2780472
Asia,Azerbaijan,10358078
Asia,Bahrain,1472237
Asia,Bangladesh,171186368
Asia,Bhutan,782457
Asia,Brunei,449002
Asia,Cambodia,16767851
Asia,China,1425887360
Europe,Albania,2842318
Europe,Andorra,79843
Europe,Austria,8939617
Europe,Belarus,9534956
Europe,Belgium,11655923
Europe,Bosnia and Herzegovina,3233530
Europe,Bulgaria,6781955
Europe,Croatia,4030361
Europe,Cyprus,896007
Europe,Czechia,10493990
Europe,Denmark,5882259
North America,Anguilla,15877
North America,Antigua and Barbuda,93772
North America,Aruba,106459
North America,Bahamas,409989
North America,Barbados,281646
North America,Belize,405285
North America,Bermuda,64207
North America,Bonaire Sint Eustatius and Saba,27052
North America,British Virgin Islands,31332
North America,Canada,38454328
North America,Cayman Islands,68722
North America,Costa Rica,5180836
North America,Cuba,11212198
North America,Curacao,191173
Oceania,American Samoa,44295
Oceania,Australia,26177410
Oceania,Cook Islands,17032
South America,Argentina,45510324
South America,Bolivia,12224114
South America,Brazil,215313504
South America,Chile,19603736
South America,Colombia,51874028
